
2025/01/10 (01:56:17) | ===> btop++ v.1.4.0
2025/01/10 (01:56:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (01:59:19) | ===> btop++ v.1.4.0
2025/01/10 (01:59:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (02:04:05) | ===> btop++ v.1.4.0
2025/01/10 (02:04:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (02:06:08) | ===> btop++ v.1.4.0
2025/01/10 (02:06:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (02:09:59) | ===> btop++ v.1.4.0
2025/01/10 (02:09:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (02:18:10) | ===> btop++ v.1.4.0
2025/01/10 (02:18:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (03:06:56) | ===> btop++ v.1.4.0
2025/01/10 (03:06:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (11:56:01) | ===> btop++ v.1.4.0
2025/01/10 (11:56:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (12:02:49) | ===> btop++ v.1.4.0
2025/01/10 (12:02:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (15:13:14) | ===> btop++ v.1.4.0
2025/01/10 (15:13:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (15:25:14) | ===> btop++ v.1.4.0
2025/01/10 (15:25:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (17:03:47) | ===> btop++ v.1.4.0
2025/01/10 (17:03:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (15:33:15) | ===> btop++ v.1.4.0
2025/01/11 (15:33:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (17:17:41) | ===> btop++ v.1.4.0
2025/01/11 (17:17:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (17:36:18) | ===> btop++ v.1.4.0
2025/01/11 (17:36:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (15:02:59) | ===> btop++ v.1.4.0
2025/01/13 (15:02:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (18:34:45) | ===> btop++ v.1.4.0
2025/01/13 (18:34:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (18:40:25) | ===> btop++ v.1.4.0
2025/01/13 (18:40:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (19:09:13) | ===> btop++ v.1.4.0
2025/01/13 (19:09:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (19:44:04) | ===> btop++ v.1.4.0
2025/01/13 (19:44:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (21:05:09) | ===> btop++ v.1.4.0
2025/01/14 (21:05:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (21:24:55) | ===> btop++ v.1.4.0
2025/01/14 (21:24:55) | WARNING: Intel GPU: Failed to initialize PMU
